Co_ID,PO ID,Exchange,Name," Root
Ticker "," Market Cap (C$)
30-November-2020 "," O/S Shares
30-November-2020 ", Technology Sub-Sector ,Sector, Sub-Sector ,"HQ
Location","HQ
Region",Listing Type,Listing Date,QT Date,RTO Date,Date of Amalgamation,Trading on OTC,"CPC/
Former
CPC","2020
Venture 50",S&P/TSX Venture Composite Index,USA City,USA State,Asia Region,Isreal Related,Section," Volume YTD
30-November-2020 "," Value (C$) YTD
30-November-2020 "," Number of 
Trades YTD
30-November-2020 "," Number of
Months in
Trading Data "
V-04332,1178925,TSXV,Golo Mobile Inc.,WLTR,"  23,226,769 ","  154,845,125 ",Internet Software & Services,Technology,,Quebec,Canada,QT,20170321,20190702,,,,Yes,,,,,,,Tier2,"  7,055,563 ","  1,881,555 ","  1,335 ",11
V-04668,1184225,TSXV,"Hapbee Technologies, Inc.",HAPB,"  25,538,836 ","  47,294,140 ",Hardware & Equipment,Technology,,BC,Canada,Other,20201030,,,,,No,,,,,,,Tier2,"  3,852,113 ","  2,447,251 ",  910 ,2
V-00223,28597,TSXV,Helix Applications Inc.,HELX,"  9,003,530 ","  51,448,741 ",Software,Technology,,AB,Canada,COB,20181030,,,,,No,,,,,,,Tier2,"  776,159 ","  97,205 ",  162 ,10
V-01553,16826,TSXV,HIVE Blockchain Technologies Ltd.,HIVE,"  432,088,205 ","  345,670,564 ",Blockchain/Cryptocurrency,Technology,Blockchain/Cryptocurrency,BC,Canada,RTO from NEX,,,20170918,,OTCQX,No,,Y,,,,,Tier2,"  748,201,342 ","  305,817,792 ","  160,011 ",11
V-04302,1177340,TSXV,H-Source Holdings Ltd.,HSI,"  2,113,574 ","  70,452,463 ",Internet Software & Services,Technology,,USA,USA,Other,20160725,,,,OTCQB,No,,,Spokane,WA,,,Tier2,"  4,088,117 ","  168,207 ",  320 ,7
V-01688,35648,TSXV,Hunter Technology Corp.,HOC,"  36,879,141 ","  33,224,451 ",Blockchain/Cryptocurrency,Technology,Energy Services,BC,Canada,Other,,,,,OTCQX,No,,,,,,,Tier2,"  849,021 ","  738,511 ","  1,008 ",11
V-00418,38980,TSXV,Identillect Technologies Corp.,ID,"  2,208,239 ","  147,215,964 ",Internet Software & Services,Technology,,USA,USA,RTO from NEX,,,20160525,,,No,,,San Juan Capistrano,CA,,,Tier2,"  35,616,238 ","  488,356 ","  1,127 ",11
V-02599,1115128,TSXV,iLOOKABOUT Corp.,ILA,"  75,435,457 ","  163,990,123 ",Software,Technology,,ON,Canada,QT,20070917,20080407,,,OTCQB,Yes,,,,,,,Tier2,"  26,583,086 ","  5,893,800 ","  3,315 ",10
V-02699,1115160,TSXV,iMining Blockchain and Cryptocurrency Inc.,IMIN,"  2,307,496 ","  38,458,265 ",Blockchain/Cryptocurrency,Technology,Blockchain/Cryptocurrency,BC,Canada,COB,20180420,,,,,Yes,,,,,,,Tier2,"  15,326,998 ","  880,781 ","  1,817 ",10
V-03717,1122416,TSXV,INEO Tech Corp.,INEO,"  8,949,763 ","  40,680,740 ",Hardware & Equipment,Technology,,BC,Canada,RTO,20180130,,20200129,,,No,,,,,,,Tier2,"  2,379,462 ","  608,499 ",  427 ,11
V-03965,1152882,TSXV,InsuraGuest Technologies Inc.,ISGI,"  8,392,155 ","  41,960,777 ",Software,Technology,,BC,Canada,COB,20200228,,,,,No,,,,,,,Tier2,"  4,326,783 ","  774,360 ",  676 ,10
V-00307,1074165,TSXV,Intema Solutions Inc.,ITM,"  1,595,076 ","  79,753,790 ",Software,Technology,,Quebec,Canada,,,,,,,Yes,,,,,,,Tier2,"  16,323,471 ","  682,999 ",  913 ,11
V-00489,1060776,TSXV,Interlapse Technologies Corp.,INLA,"  10,739,116 ","  30,683,189 ",Software,Technology,,BC,Canada,COB,20190530,,,,OTCQB,No,,,,,,,Tier2,"  2,758,667 ","  489,126 ",  717 ,11
V-00972,1023824,TSXV,Intouch Insight Ltd.,INX,"  13,361,618 ","  22,646,811 ",Software,Technology,,ON,Canada,,,,,,OTCQB,No,,,,,,,Tier1,"  5,456,206 ","  2,750,873 ","  1,657 ",11
V-02786,1116144,TSXV,iSign Media Solutions Inc.,ISD,"  5,229,426 ","  149,412,173 ",Communication Technology,Technology,,ON,Canada,QT,20080408,20090904,,,,Yes,,,,,,,Tier2,"  37,104,409 ","  1,979,203 ","  2,142 ",11
V-01032,1044264,TSXV,Ivrnet Inc.,IVI,"  1,399,488 ","  69,974,395 ",Software,Technology,,AB,Canada,,,,,,,No,,,,,,,Tier2,"  16,373,916 ","  323,315 ",  419 ,11
V-01124,11243,TSXV,Jackpot Digital Inc.,JJ,"  1,679,510 ","  25,838,608 ",Internet Software & Services,Technology,Gaming,BC,Canada,,,,,,OTCQB,No,,,,,,,Tier2,"  22,696,487 ","  638,777 ","  1,342 ",11
V-01044,1023969,TSXV,Jemtec Inc.,JTC,"  3,803,624 ","  2,716,874 ",Hardware & Equipment,Technology,,BC,Canada,,,,,,,No,,,,,,,Tier2,"  459,098 ","  681,671 ",  435 ,11
V-04385,1179250,TSXV,Katipult Technology Corp.,FUND,"  17,319,829 ","  69,279,316 ",Software,Technology,,BC,Canada,Other,20171115,,,,,No,,,,,,,Tier2,"  3,301,306 ","  881,294 ",  799 ,11
V-04259,1174675,TSXV,Kidoz Inc.,KIDZ,"  68,184,994 ","  131,124,989 ",Internet Software & Services,Technology,,Anguilla,Latin America,Other,20150702,,,,,No,,,,,,,Tier2,"  1,081,158 ","  316,493 ",  263 ,11
V-00130,1023278,TSXV,Killi Ltd.,MYID,"  37,825,048 ","  290,961,909 ",Software,Technology,,ON,Canada,RTO from NEX,,,20190619,,,No,,,,,,,Tier2,"  65,489,848 ","  9,881,092 ","  6,754 ",11
V-04303,1176912,TSXV,"kneat.com, inc.",KSI,"  141,574,797 ","  67,416,570 ",Hardware & Equipment,Technology,,Ireland,UK/Europe,Other,20160705,,,,,No,Y,Y,,,,,Tier1,"  13,125,761 ","  27,700,698 ","  13,485 ",11
V-00006,1068335,TSXV,Kona Bay Technologies Inc.,KBY,"  337,303 ","  7,495,633 ",Internet Software & Services,Technology,,BC,Canada,,,,,,,Yes,,,,,,,Tier2,"  98,634 ","  3,421 ",  18 ,4
V-03617,1119285,TSXV,Kraken Robotics Inc.,PNG,"  93,298,158 ","  166,603,853 ",Hardware & Equipment,Technology,,BC,Canada,QT from NEX,20100806,20150224,,,OTCQB,Yes,Y,Y,,,,,Tier2,"  52,346,034 ","  30,259,536 ","  22,419 ",11
V-04264,1175883,TSXV,Kuuhubb Inc.,KUU,"  5,296,507 ","  55,752,709 ",Internet Software & Services,Technology,,Finland,UK/Europe,COB,20170616,,,,,No,,,,,,,Tier2,"  16,428,097 ","  2,435,234 ","  1,064 ",11
V-04456,1180950,TSXV,KWESST Micro Systems Inc.,KWE,"  32,600,789 ","  41,266,821 ",Hardware & Equipment,Technology,,BC,Canada,QT,20180615,20200922,,,,Yes,,,,,,,Tier2,"  3,388,736 ","  2,567,157 ","  1,094 ",5
V-01106,1023991,TSXV,Labrador Technologies Inc.,LTX,"  355,932 ","  8,898,312 ",Software,Technology,,AB,Canada,,,,,,,No,,,,,,,Tier2,"  36,903,263 ","  196,353 ",  579 ,6
V-04580,1183070,TSXV,Leaf Mobile Inc.,LEAF,"  64,032,375 ","  213,441,250 ",Software,Technology,,BC,Canada,QT,20190715,20200421,,,,Yes,,,,,,,Tier2,"  15,335,534 ","  5,170,985 ","  3,069 ",7
V-02990,1121870,TSXV,LeoNovus Inc.,LTV,"  3,472,934 ","  9,514,888 ",Blockchain/Cryptocurrency,Technology,Blockchain/Cryptocurrency,USA,USA,QT,20090610,20101105,,,,Yes,,,Palo Alto,CA,,,Tier2,"  138,249,071 ","  3,643,455 ","  4,524 ",9
V-04130,1163680,TSXV,"Liberty Defense Holdings, Ltd.",SCAN,"  6,654,972 ","  66,549,721 ",Hardware & Equipment,Technology,,ON,Canada,QT from NEX,20130614,20190409,,,OTCQB,Yes,,,,,,,Tier2,"  2,275,882 ","  185,701 ",  372 ,3
V-04320,1177337,TSXV,Lite Access Technologies Inc.,LTE,"  10,980,665 ","  33,786,663 ",Hardware & Equipment,Technology,,BC,Canada,Other,20161213,,,,,No,,Y,,,,,Tier1,"  38,063,778 ","  21,329,158 ","  11,362 ",11
V-03090,1118769,TSXV,Loop Insights Inc.,MTRX,"  82,244,888 ","  91,383,209 ",Software,Technology,,BC,Canada,RTO from NEX,20100216,,20190619,,,No,,,,,,,Tier2,"  177,627,052 ","  68,436,566 ","  52,225 ",11
V-03112,1128440,TSXV,Loopshare Ltd.,LOOP,"  2,835,255 ","  29,844,786 ",Hardware & Equipment,Technology,,BC,Canada,RTO,20100415,20120402,20160708,,OTCQB,Yes,,,,,,,Tier2,"  3,553,955 ","  857,870 ","  1,179 ",11
V-00540,17297,TSXV,Martello Technologies Group Inc.,MTLO,"  53,436,611 ","  267,183,056 ",Internet Software & Services,Technology,,ON,Canada,RTO from NEX,,,20180912,,,No,,Y,,,,,Tier2,"  116,618,721 ","  26,279,116 ","  19,099 ",11
V-04045,1156155,TSXV,mCloud Technologies Corp.,MCLD,"  45,638,048 ","  27,492,800 ",Internet Software & Services,Technology,,BC,Canada,RTO,20120831,,20171018,,OTCQB,No,Y,Y,,,,,Tier2,"  11,302,410 ","  39,978,810 ","  20,877 ",11
V-04283,1175755,TSXV,MCX Technologies Corporation,MCX,"  2,451,139 ","  20,426,158 ",Software,Technology,,USA,USA,Other,20160203,,,,OTCQB,No,,,San Francisco,CA,,,Tier2,"  448,100 ","  31,417 ",  53 ,7
V-02070,1023658,TSXV,MediaValet Inc.,MVP,"  89,407,658 ","  38,045,812 ",Internet Software & Services,Technology,,BC,Canada,,,,,,,No,Y,,,,,,Tier2,"  12,506,541 ","  19,300,538 ","  7,121 ",11
V-03930,1150740,TSXV,Memex Inc.,OEE,"  2,037,345 ","  135,822,995 ",Software,Technology,,ON,Canada,QT,20120118,20131101,,,,Yes,,,,,,,Tier2,"  40,524,236 ","  778,943 ","  1,427 ",11
V-04425,1180570,TSXV,Minerva Intelligence Inc.,MVAI,"  5,361,001 ","  44,675,005 ",Software,Technology,,BC,Canada,QT,20180326,20190605,,,,Yes,,,,,,,Tier2,"  4,218,341 ","  422,396 ",  612 ,11
V-04417,1180660,TSXV,MOBI724 Global Solutions Inc.,MOS,"  7,653,731 ","  218,678,031 ",Software,Technology,,Quebec,Canada,Other,20180314,,,,,No,,,,,,,Tier2,"  36,372,070 ","  1,295,126 ","  1,668 ",11
V-00716,1044476,TSXV,Mobio Technologies Inc.,MBO,"  3,814,755 ","  38,147,546 ",Internet Software & Services,Technology,,BC,Canada,,,,,,,No,,,,,,,Tier2,"  1,404,240 ","  118,350 ",  183 ,11
V-03971,1117917,TSXV,Moovly Media Inc.,MVY,"  9,290,862 ","  132,726,596 ",Software,Technology,,Belgium,UK/Europe,COB,20160802,,,,,No,,,,,,,Tier2,"  11,552,692 ","  633,392 ",  539 ,11
V-00385,1023852,TSXV,Namsys Inc.,CTZ,"  26,467,742 ","  27,286,332 ",Software,Technology,,ON,Canada,,,,,,,No,,Y,,,,,Tier1,"  5,114,840 ","  4,845,809 ","  2,133 ",11
V-01878,38237,TSXV,NanoTech Security Corp.,NTS,"  34,699,931 ","  69,399,862 ",Hardware & Equipment,Technology,,BC,Canada,,,,,,OTCQX,No,,Y,,,,,Tier1,"  9,090,361 ","  3,413,421 ","  2,456 ",11
V-04402,1180740,TSXV,Neptune Dash Technologies Corp.,DASH,"  12,021,685 ","  85,869,178 ",Blockchain/Cryptocurrency,Technology,Blockchain/Cryptocurrency,BC,Canada,Other,20180119,,,,,No,,,,,,,Tier1,"  54,819,694 ","  6,208,023 ","  5,647 ",11
V-03746,1141830,TSXV,NexOptic Technology Corp.,NXO,"  95,742,498 ","  147,296,150 ",Hardware & Equipment,Technology,,BC,Canada,COB,20160217,,,,OTCQX,No,,Y,,,,,Tier2,"  72,144,205 ","  52,489,586 ","  34,331 ",11
V-04277,1000849,TSXV,Novra Technologies Inc.,NVI,"  1,946,796 ","  35,396,293 ",Communication Technology,Technology,,MB,Canada,TSX Comedown,20151214,,,20160620,,No,,,,,,,Tier2,"  2,654,739 ","  180,950 ",  335 ,11
V-01335,1057676,TSXV,NTG Clarity Networks Inc.,NCI,"  2,621,047 ","  131,052,355 ",IT Consulting & Services,Technology,,ON,Canada,,,,,,,Yes,,,,,,,Tier1,"  48,128,585 ","  1,177,348 ","  1,410 ",10
V-04388,1179385,TSXV,Nubeva Technologies Ltd.,NBVA,"  11,306,346 ","  56,531,728 ",Internet Software & Services,Technology,,USA,USA,QT,20171107,20180302,,,,Yes,,,San Jose,CA,,,Tier1,"  22,043,443 ","  4,189,773 ","  2,775 ",11
V-02040,1023809,TSXV,Oculus VisionTech Inc.,OVT,"  53,643,993 ","  86,522,569 ",Internet Software & Services,Technology,,USA,USA,,,,,,OTCQB,No,,,East Berlin,CT,,,Tier2,"  9,971,866 ","  3,097,756 ","  3,271 ",11
V-01769,1023219,TSXV,OneSoft Solutions Inc.,OSS,"  49,708,350 ","  115,600,813 ",Software,Technology,,AB,Canada,,,,,,OTCQB,Yes,,Y,,,,,Tier2,"  30,060,158 ","  13,958,608 ","  9,408 ",11
V-02601,1109696,TSXV,Personas Social Incorporated,PRSN,"  11,290,628 ","  322,589,359 ",Internet Software & Services,Technology,,ON,Canada,RTO,20070918,,20140310,,OTCQB,No,,,,,,,Tier1,"  30,581,997 ","  2,014,822 ","  2,863 ",11
V-04673,1184315,TSXV,Pivotree Inc.,PVT,"  281,399,002 ","  24,684,123 ",Internet Software & Services,Technology,,ON,Canada,IPO,20201030,,,,,No,,,,,,,Tier1,"  3,173,445 ","  32,334,678 ","  4,326 ",2
V-01123,33516,TSXV,Playgon Games Inc.,DEAL,"  71,888,354 ","  179,720,886 ",Internet Software & Services,Technology,Gaming,BC,Canada,COB,20160711,,,,,No,,Y,,,,,Tier2,"  40,168,058 ","  11,068,749 ","  3,927 ",6
V-04542,1182681,TSXV,Plurilock Security Inc.,PLUR,"  12,066,992 ","  43,879,971 ",Software,Technology,,BC,Canada,QT,20190208,20200924,,,,Yes,,,,,,,Tier2,"  7,715,639 ","  2,282,699 ","  1,440 ",3
V-01924,1074440,TSXV,POET Technologies Inc.,PTK,"  152,569,929 ","  293,403,710 ",Hardware & Equipment,Technology,,USA,USA,RTO,,,20070626,,OTCQX,No,,Y,San Jose,CA,,,Tier2,"  66,121,644 ","  32,920,972 ","  13,420 ",11
V-04607,1183445,TSXV,PopReach Corporation,POPR,"  93,421,353 ","  71,862,579 ",Gaming,Technology,Gaming,ON,Canada,QT,20191011,20200708,,,,Yes,,,,,,,Tier1,"  16,612,328 ","  18,078,348 ","  6,390 ",5
V-04106,1130350,TSXV,Powerband Solutions Inc.,PBX,"  24,976,096 ","  116,167,888 ",Internet Software & Services,Technology,,ON,Canada,QT from NEX,20130307,20180209,,,OTCQB,Yes,,Y,,,,,Tier2,"  75,147,567 ","  15,194,644 ","  9,861 ",11
V-00894,1023549,TSXV,Predictiv AI Inc.,PAI,"  15,567,327 ","  77,836,636 ",IT Consulting & Services,Technology,,ON,Canada,QT,20010719,,,,,No,,Y,,,,,Tier2,"  323,680,648 ","  22,529,796 ","  21,736 ",11
V-02929,1118419,TSXV,Prodigy Ventures Corp.,PGV,"  10,501,094 ","  116,678,820 ",Internet Software & Services,Technology,,ON,Canada,QT from NEX,20081224,20150914,,,,Yes,,,,,,,Tier2,"  2,473,373 ","  258,405 ",  650 ,11
V-02660,1116202,TSXV,ProntoForms Corporation,PFM,"  115,549,296 ","  126,977,248 ",Internet Software & Services,Technology,,ON,Canada,QT,20071113,20090820,,,,Yes,,Y,,,,,Tier2,"  15,784,770 ","  12,792,751 ","  1,096 ",11
V-02875,1116050,TSXV,Quantum Numbers Corp.,QNC,"  2,118,474 ","  60,527,838 ",Software,Technology,,Quebec,Canada,COB,20161206,,,,,Yes,,,,,,,Tier2,"  31,070,387 ","  2,736,262 ","  2,922 ",11
V-03967,1154305,TSXV,Quisitive Technology Solutions Inc.,QUIS,"  178,098,212 ","  193,585,013 ",IT Consulting & Services,Technology,,BC,Canada,QT from NEX,20120307,20180813,,,,Yes,,Y,,,,,Tier2,"  44,470,285 ","  27,556,931 ","  19,917 ",11
V-01631,1058073,TSXV,Quorum Information Technologies Inc.,QIS,"  74,562,737 ","  72,391,007 ",Software,Technology,,AB,Canada,,,,,,,Yes,,Y,,,,,Tier1,"  6,198,589 ","  6,085,350 ","  1,897 ",11
